Name,Rating,Title,Nationality,Games,Rank,Fide Id,Year of Birth
Abhijeet Gupta,2612,Grand Master,India,1169,197,5010608,1989
Romain Edouard,2611,Grand Master,France,1440,198,633429,1990
Alexander Galkin,2611,Grand Master,Russian Federation,960,199,4120426,1979
Jacek Tomczak,2610,Grand Master,Poland,608,200,1124668,1990
Imre Jr Hera,2610,Grand Master,Hungary,795,201,716855,1986
Anton Demchenko,2610,Grand Master,Russian Federation,752,202,4160258,1987
Dimitrios Mastrovasilis,2609,Grand Master,Greece,1200,203,4202694,1983
Mikhail Al. Antipov,2609,Grand Master,Russian Federation,984,204,4107012,1997
Arik Braun,2609,Grand Master,Germany,752,205,4663527,1988
Jon Ludvig Hammer,2608,Grand Master,Norway,951,206,1503707,1990
Alexander Khalifman,2608,Grand Master,Russian Federation,2169,207,4100115,1966
Praggnanandhaa R,2608,Grand Master,India,349,208,25059530,2005
Jaime Santos Latasa,2608,Grand Master,Spain,428,209,2293307,1996
Boris Alterman,2608,Grand Master,Israel,697,210,2801906,1970
Eduardo Iturrizaga Bonelli,2607,Grand Master,Spain,1057,211,3901211,1989
Aleksandar Indjic,2607,Grand Master,Serbia,716,212,911925,1995
Manuel Perez Candelario,2607,Grand Master,Spain,792,213,2210622,1983
Georgy Pilavov,2607,Grand Master,Ukraine,82,214,14109158,1974
Andreas Heimann,2606,Grand Master,Germany,621,215,24624632,1992
Timur Gareyev,2606,Grand Master,United States,610,216,14200937,1988
Zaven Andriasian,2606,Grand Master,Armenia,1059,217,13302000,1989
Ivan Ivanisevic,2606,Grand Master,Serbia,1821,218,912417,1977
Murali Karthikeyan,2606,Grand Master,India,552,219,5074452,1999
Arman Pashikian,2606,Grand Master,Armenia,730,220,13301578,1987
Eric Hansen,2606,Grand Master,Canada,520,221,2606771,1992
Denis Khismatullin,2606,Grand Master,Russian Federation,1525,222,4142578,1984
Vasif Durarbayli,2606,Grand Master,Azerbaijan,463,223,13402935,1992
Nodirbek Yakubboev,2605,Grand Master,Uzbekistan,282,224,14203987,2002
Igor Lysyj,2605,Grand Master,Russian Federation,1211,225,4150120,1987
Evgeny Postny,2605,Grand Master,Israel,1826,226,2804344,1981
Konstantin Sakaev,2604,Grand Master,Russian Federation,1683,227,4104226,1974
Sergei Tiviakov,2604,Grand Master,Netherlands,2442,228,1008013,1973
Sergei Azarov,2604,Grand Master,Belarus,1153,229,13501470,1983
Niclas Huschenbeth,2604,Grand Master,Germany,721,230,24604747,1992
Baadur Jobava,2603,Grand Master,Georgia,1746,231,13601520,1983
Zviad Izoria,2602,Grand Master,United States,849,232,13601733,1984
Tigran Gharamian,2602,Grand Master,France,726,233,13301527,1984
Hristos Banikas,2602,Grand Master,Greece,1257,234,4202031,1978
Zahar Efimenko,2601,Grand Master,Ukraine,1480,235,14107201,1985
David Baramidze,2601,Grand Master,Germany,1117,236,4667719,1988
Daniel Fridman,2601,Grand Master,Germany,2407,237,11600454,1976
Tigran L Petrosian,2601,Grand Master,Armenia,1164,238,13301616,1984
Erik Van den Doel,2601,Grand Master,Netherlands,1268,239,1003720,1979
Marin Bosiocic,2601,Grand Master,Croatia,1257,240,14507927,1988
Suri Vaibhav,2600,Grand Master,India,434,241,5045185,1997
Yannick Gozzoli,2600,Grand Master,France,686,242,616915,1983
Cristobal Henriquez Villagra,2600,Grand Master,Chile,263,243,3409350,1996
Evgeny Romanov,2599,Grand Master,Russian Federation,1472,244,4148843,1988
Axel Bachmann,2599,Grand Master,Paraguay,606,245,3700488,1989
Diego Flores,2599,Grand Master,Argentina,1051,246,108049,1982
Ivan Salgado Lopez,2599,Grand Master,Spain,1075,247,2257327,1991
Kirill Shevchenko,2599,Grand Master,Ukraine,379,248,14129574,2002
Gabor Papp,2599,Grand Master,Hungary,1185,249,718602,1987
Vitaliy Bernadskiy,2599,Grand Master,Ukraine,709,250,14100371,1994
Dmitrij Kollars,2598,Grand Master,Germany,407,251,12909572,1999
Vladimir Belov,2598,Grand Master,Russian Federation,962,252,4132394,1984
Olexandr Bortnyk,2598,Grand Master,Ukraine,359,253,14120828,1996
Robert Markus,2598,Grand Master,Serbia,1221,254,921637,1983
Alexander Zubov,2598,Grand Master,Ukraine,841,255,14109409,1983
Aram Hakobyan,2598,Grand Master,Armenia,373,256,13306677,2001
Eltaj Safarli,2598,Grand Master,Azerbaijan,1319,257,13402129,1992
